,url,title,company,date_posted,geo_coord,industry,job_description
0,https://www.glassdoor.com/partner/jobListing.htm?pos=723&ao=8095&s=58&guid=0000016ec627b963852f39ac0bc4175c&src=GD_JOB_AD&vt=w&cs=1_056383f8&cb=1575282522678&jobListingId=3410231829,True Tech Data Analyst Intern,Bambu,2019-11-08,"('1.2931', '103.8558')",Finance,"<div class=""jobDesc"" id=""JobDesc3410231829""><div class=""jobDescriptionContent desc""><strong>Position: Tech Data analyst Intern</strong>
<br/><br/>
Dou you love data science? AJoin our investment team and gain hands-on experience in implementing and developing digital wealth management platforms.
<br/><br/>
<strong>What we're offering</strong>
<ul>
<li>A chance to interact and work with key Bambu players (don't be surprised if you find yourself having a casual chat about your favorite hobbies with our CEO).</li>
<li>The experience will help you determine if this is the right career path and industry for you!</li>
<li>A space to develop and execute your own ideas. We are always looking for a fresh perspective.</li>
<li>Killer office with pretty decent perks. We take care of our people.</li>
</ul>
<strong>What you need to do:</strong>
<ul>
<li>Build robust front-ends for our clients, and develop and maintain the back-end of our systems.</li>
<li>Implement new features and identify bugs in existing systems.</li>
<li>Work closely with our data scientists, investment specialists, business analysts and project managers in software implementation.</li>
</ul>
<strong>Requirements:</strong>
<ul>
<li>Background in Computer Science or related fields</li>
<li>Experience in compiling and analyzing large amounts of data</li>
<li>Experience in Python to design calculators based on processed data</li>
<li>Prior experienced in finance not required but demonstrable interest in Finance and Fintech in particular</li>
<li>Good communication skills in English</li>
</ul>
<strong>Nice to have:</strong>
<ul>
<li>Familiar with Javascript frameworks such as Node.js, etc</li>
<li>Experience in implementing RESTful web services-based applications and API development.</li>
<li>AWS and cloud implementation knowledge.</li>
</ul></div></div>"
1,https://www.glassdoor.com/partner/jobListing.htm?pos=413&ao=483042&s=58&guid=0000016ec6279d5391e3d48b3da6557f&src=GD_JOB_AD&vt=w&cs=1_9d156d44&cb=1575282515476&jobListingId=3426998789,"Senior Data Analyst – Data Hub, Strategic Communications & Insights",Vital,2019-11-28,"('1.2931', '103.8558')",Government,"<div class=""jobDesc"" id=""JobDesc3426998789""><div class=""jobDescriptionContent desc""><h2>Senior Data Analyst – Data Hub, Strategic Communications &amp; Insights</h2>
<div>
<div></div></div></div></div>"
2,https://www.glassdoor.com/partner/jobListing.htm?pos=525&ao=8095&s=58&guid=0000016ec627a69f93df48ceadac6025&src=GD_JOB_AD&vt=w&cs=1_d3ac42e6&cb=1575282517855&jobListingId=3195280427,Data Analyst Lead - Key Reports & Finance,Shopee,2019-11-26,"('1.2931', '103.8558')",Information Technology,"<div class=""jobDesc"" id=""JobDesc3195280427""><div class=""jobDescriptionContent desc""><strong>Job Description:</strong>
<ul>
<li>Conduct data analysis to measure business performance and identify improvement opportunities to business</li>
<li>Design and build Shopee's critical reports/dashboards and Finance related reports</li>
<li>Provide guidance to junior analysts to fulfill responsibilities related to Shopee critical reports and Finance related reports</li>
<li>Design data marts for key reports and finance reports by fulfilling business requirements and optimizing technical requirements if needed</li>
<li>Coordinate and work with data engineers to optimize the data flow from raw data into data marts</li>
</ul>
<strong>Requirements:</strong>
<ul>
<li>Bachelor degree or higher in Computer Science, Engineering, Information Technology, Business Analytics, Statistics</li>
<li>At least 4 years and above of working experience in analyzing large datasets and translating it to the business insights in a dynamic, fast-changing environment</li>
<li>Highly proficient in Excel and hands on experience with large amounts of data using SQL, Python, Pyspark and in the Hadoop ecosystem</li>
<li>Strong analytical skills, with work experience on leading data driven analysis and able to make analytical recommendations and provide business insights to the senior management</li>
<li>Handles multiple competing priorities in a deadline-driven environment</li>
<li>Excellent communication and stakeholder management and presentation skills</li>
</ul>
<strong>Skills below are optional but preferable:</strong>
<ul>
<li>Work experience with data visualization tools</li>
<li>Work experience in ecommerce</li>
<li>Experience in managing teams and senior stakeholders</li>
</ul></div></div>"
3,https://www.glassdoor.com/partner/jobListing.htm?pos=314&ao=437149&s=58&guid=0000016ec6279494a4dc19919b548cf0&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_7eef16a4&cb=1575282513240&jobListingId=3306625098,Data Analyst,Straits Marine Supply Pte. Ltd.,2019-11-16,"('1.3214', '103.6567')",empty,"<div class=""jobDesc"" id=""JobDesc3306625098""><div class=""jobDescriptionContent desc""><strong>Responsibilities:</strong>
<br/>
Interpret data, analyze results using statistical techniques and provide ongoing reports
<br/>
Identify, analyze, and interpret trends or patterns in complex data sets
<br/>
Filter and “clean” data by reviewing computer reports, printouts, and performance indicators to locate and correct code problems
<br/>
Work with management to prioritize business and information needs
<br/>
Locate and define new process improvement opportunities
<br/>
Any other related duties as and when assigned.
<br/><br/>
<strong>Requirements:</strong>
<br/>
Diploma or higher in Computer Science, Information Management or Statistics
<br/>
Hands on software programming skills.
<br/>
Proven working experience as a data analyst or business data analyst
<br/>
Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy
<br/>
Possess excellent problem solving, presentation, organizational and project management
<br/>
Good communication skill and interpersonal skill
<br/>
Adept at queries, report writing and presenting findings
<br/>
Familiar with ERP System, FACT System add on advantage.
<br/>
Excellent in Ms Office (Word / Excel / PowerPoint).
<br/>
Working area at Tuas Place
<br/>
Interested candidates are invited to apply by e-mail info@straitsmarinesupply.com</div></div>"
4,https://www.glassdoor.com/partner/jobListing.htm?pos=727&ao=437149&s=58&guid=0000016ec627b963852f39ac0bc4175c&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_a2109f85&cb=1575282522674&jobListingId=3375191019,Senior Data Analyst - Airpay,Shopee,2019-11-30,"('1.2931', '103.8558')",Information Technology,"<div class=""jobDesc"" id=""JobDesc3375191019""><div class=""jobDescriptionContent desc""><strong>Job Description:</strong>
<ul>
<li>Gather business requirements from different business stakeholders / product teams and translate them into suitable data / engineering requirements</li>
<li>Conduct data analysis on business issues under tight deadlines</li>
<li>Interpret the analytical insight into the business recommendations and improvements to support business to make strategic decisions for digital payment business</li>
<li>Work with big data at Shopee using the Hadoop ecosystem to ensure data pipeline integrity together with our data engineers</li>
<li>Design and build suitable dashboards for the business needs using SQL and/or Pyspark</li>
<li>Able to think on your feet to troubleshoot business issues or investigate irregular KPI spikes due to business developments</li>
</ul>
<strong>Requirements:</strong>
<ul>
<li>Bachelor degree or higher in Computer Science, Information System, Engineering, Business Analytics, Statistics or related field</li>
<li>At least 2 years of relevant work experience in business intelligence, business data analysis, comparable experience in other data-drive environment</li>
<li>Highly proficient in Excel and hands-on experience with large amounts of data using SQL, Python, Pyspark and the Hadoop ecosystem</li>
<li>Outstanding in interpersonal communications</li>
</ul>
<strong>Skills below are optional but preferable:</strong>
<ul>
<li>Strong analytical skills, with work experience on data-driven analysis related to digital payment and able to make analytical recommendations and provide business insights to the senior management</li>
<li>Experience in e-commerce or the internet industry</li>
<li>With passion about digital payment and interest in the trend of e-payment</li>
<li>Work experience with data visualization tools</li>
<li>Ability to work across organization</li>
</ul></div></div>"
5,https://www.glassdoor.com/partner/jobListing.htm?pos=725&ao=437149&s=58&guid=0000016ec627b963852f39ac0bc4175c&src=GD_JOB_AD&vt=w&cs=1_87abf8d5&cb=1575282522678&jobListingId=3086526752,Data Migration Analyst,Aryan Search Pte Ltd,2019-11-19,"('1.2931', '103.8558')",empty,"<div class=""jobDesc"" id=""JobDesc3086526752""><div class=""jobDescriptionContent desc"">We are looking Data Migration Analyst for one of our leading IT client in Singapore
<br/><br/>
<strong>Salary:</strong> SGD 4000 – SGD 5500/Month
<br/>
<strong>Location:</strong> 6 Serangoon North Avenue 5, Near Ang Mo Kio MRT.
<br/>
<strong>Job Type:</strong> Contract
<br/><br/>
<strong>Job Description</strong>
<br/><br/>
Work with customers, vendors and project team to gather business requirements for data migration
<br/><br/>
Work across multiple functional projects to understand data usage and implications for data migration
<br/><br/>
Assist in designing, planning and managing the data migration process
<br/><br/>
Work with subject matter experts and project team to identify, define, collate, document and communicate data migration requirements
<br/><br/>
Prepare data migration plans including migration risk, milestone, quality and business sign-off details
<br/><br/>
Perform source system data migration analysis in order to manage source to target data mapping
<br/><br/>
Manage assigned risks and monitor potential impacts as part of data migration plan
<br/><br/>
<strong>Required Skills:</strong>
<br/>
3+ years in large, phased data migration exercises
<br/><br/>
3+ years in in performing complex source and target data analysis
<br/><br/>
3+ years application testing and release management
<br/><br/>
Must have hands-on experience in end-to-end data migration process for a large system
<br/><br/>
<strong>Nice to have Skills:</strong>
<br/>
Experience in writing business requirements specifications
<br/><br/>
Exposure to project environments [test and release management]
<br/><br/>
Knowledge of database structure and understanding of ERD
<br/><br/>
Interested, please send over your resume to recruitment at aryansolutions dot tech or call at 65 67087429 Ext 219 for a confidential discussion.

<li>Vikram Shervani</li>

EA Registration No.R1110177</div></div>"
6,https://www.glassdoor.com/partner/jobListing.htm?pos=823&ao=437149&s=58&guid=0000016ec627c88a9b0b457a831f76be&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_0da63473&cb=1575282526606&jobListingId=3088661961,Data Analyst – Insight,Sparkline,2019-11-21,"('1.2931', '103.8558')",empty,"<div class=""jobDesc"" id=""JobDesc3088661961""><div class=""jobDescriptionContent desc""><strong>THE ROLE:</strong>
<br/>
At Sparkline, we are in the people business! Our Customer Insights Analysts are passionate about helping our Client’s use data to develop a multi-view of their customer and deliver improvements across the customer journey to achieve competitive advantage and amazing customer experiences.
<br/><br/>
Our Analysts build a working knowledge of the Client’s business, leverage industry knowledge and analytics techniques to provide creative solutions to solve real business problems. As a passionate storyteller you can present your insights in the form of a narrative. You are comfortable across all communication channels and can tailor your message to help cross functional stakeholders connect with the bigger picture.
<br/><br/>
You are comfortable with a degree of ambiguity and not having all pieces of the puzzle in front of you. Your natural ability with numbers and statistics, combined with your experience using agile data sets and external resources, will allow you to identify opportunities and provide rich recommendations for your Client. You’ll take an independent approach to work planning and use your experience to preempt and mitigate issues to deliver on time, every time.
<br/><br/>
You’ll be an active participant at team meetings and think tank sessions as well as delivering presentations and training session to clients. You will work with the team to identify opportunities to drive efficiency and scale in all that we do.
<br/><br/>
<strong>THE PERSON:</strong>
<br/>
At Sparkline social capital is king! Your success will be based on your ability to collaborate, cooperate and ideate with Sparks from across the business. Demonstrating your natural bias for action, you’ll chase every opportunity to flex your entrepreneurial muscles and contribute to delivering impactful solutions for our clients. You’ll enjoy working with a degree of ambiguity and see the challenge in not having all the pieces of the puzzle in front of you. You will be a passionate learner with the ability to pick up new tools and languages with ease.
<br/><br/>
<strong>YOU WILL BRING:</strong>
<br/>
You should be a creative problem solver, resourceful in getting things done, and productive when working independently or collaboratively. You should have a strong eye for accuracy and detail when analysing data and an analytical mind-set in producing actionable insights. You should also have the ability to undertake new initiatives to deliver the best work. You would take on the following responsibilities:
<br/><br/>
Interpret data, analyze results using statistical techniques and provide ongoing reports
<br/>
Gather and process raw data at scale (including writing ETL scripts, scraping webpages, calling APIs, writing SQL queries, etc.)
<br/>
Creative analytical mindset with the ability to think ‘outside of the box’
<br/>
Develop key reports, dashboards and presentation decks on measure KPI performances for numerous clients across the digital industry.
<br/>
Provide key insights to optimize ROI performance and identify learnings for future ROI
<br/>
Support business decisions with ad hoc analysis as needed
<br/><br/>
<strong>Requirements:</strong>
<br/>
A degree in the fields of Statistics, Mathematics, Computer Science, Digital Marketing
<br/>
Must have +2 years working knowledge in Bigquery or any other SQL instances
<br/>
Must have +2 years working knowledge in R covering libraries used in data cleansing/transformation, statistical programming, data visualizations and APIs.
<br/>
Must have an interest in MarTech or understand the MarTech landscape and expertise in the main channels of online acquisition; Advertising (Search Engines, SEO, SEM, Bid-management Tools, AdExchange etc), Marketing (Display, Content, Email etc), Social Media (Facebook, Twitter, YouTube etc), eCommerce. (working knowledge in MarTech is preferred but not a requirement)
<br/>
<strong>Google Sheet + Google Apps Script or Excel + VBScript:</strong> 2 years, particularly for data manipulation / cleansing.
<br/>
Google analytics certified (required) / Adobe analytics certified( preferred)
<br/>
Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy
<br/>
Ability to write comprehensive reports and possess strong verbal and written communication skills in English
<br/>
Fluency in English is a must
<br/>
Fluency in an Asian language such as (Mandarin, Cantonese, Vietnamese, Bahasa) is preferred
<br/>
Strong working knowledge in BI/Visualization tools such as Data studio/ Power BI/ Tableau is beneficial</div></div>"
7,https://www.glassdoor.com/partner/jobListing.htm?pos=126&ao=37049&s=58&guid=0000016ec627820aaace8d2b4f69b066&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_e193aee4&cb=1575282508535&jobListingId=3415500561,"Data Analyst, Trust and Safety",Google,2019-11-14,"('1.2931', '103.8558')",Information Technology,"<div class=""jobDesc"" id=""JobDesc3415500561""><div class=""jobDescriptionContent desc"">Minimum qualifications:

<ul>
<li>Bachelor's degree in Computer Science, Mathematics, Statistics, Engineering, a related discipline or equivalent practical experience.</li>
<li>Experience with SQL, Python and/or another data or scripting language.</li>
</ul>
Preferred qualifications:

<ul>
<li>Knowledge in one or more of the following areas: coding, databases and querying, front-end development, statistical analysis.</li>
<li>Demonstrated understanding of how the Internet works economically, socially and technically. Interest in innovation, technology and Google products.</li>
<li>Understanding of fraud investigations, fraud risk management, Internet advertising and/or e-commerce.</li>
</ul>
<div><h2>About the job</h2><br/><br/>Trust &amp; Safety team members are tasked with identifying and taking on the biggest problems that challenge the safety and integrity of our products. They use technical know-how, excellent problem-solving skills, user insights, and proactive communication to protect users and our partners from abuse across Google products like Search, Maps, Gmail, and Google Ads. On this team, you're a big-picture thinker and strategic team-player with a passion for doing what’s right. You work globally and cross-functionally with Google engineers and product managers to identify and fight abuse and fraud cases at Google speed - with urgency. And you take pride in knowing that every day you are working hard to promote trust in Google and ensuring the highest levels of user safety.
<br/><br/>
The Trust and Safety Enforcement team's goal is to ensure Google's ads are safe to run for our users, publishers and Google. We achieve this through partnership with Legal, Policy, Engineering, Vendor Operations and Product teams and by introducing abuse fighting solutions.
<br/><br/>
At Google we work hard to earn our users’ trust every day. Trust &amp; Safety is Google’s team of abuse fighting and user trust experts working daily to make the internet a safer place. We partner with teams across Google to deliver bold solutions in abuse areas such as malware, spam and account hijacking. A diverse team of Analysts, Policy Specialists, Engineers, and Program Managers, we work to reduce risk and fight abuse across all of Google’s products, protecting our users, advertisers, and publishers across the globe in over 40 languages.</div><div><h2>Responsibilities</h2>
<ul>
<li>Investigate, identify and prevent/remove product quality issues by reviewing accounts, transactions, user-generated content, advertisements, local business listings and/or search results in order to enforce product-specific policies.</li>
<li>Engage in project work to increase quality and efficiency within large-scale processes by refining use of signals and data, improving internal tools and systems, exposing bugs and vulnerabilities and/or improving collaboration with other teams or companies.</li>
<li>Collaborate with cross-functional groups such as Engineering, Sales and Legal to increase automation, update policies, fix product loopholes and to provide a better online experience for our users.</li>
<li>Perform complex data analyses to derive insight from our vast data stores.</li>
<li>Identify market trends and product vulnerabilities. Create data-backed recommendations to respond to trends and reduce vulnerabilities then work with cross-functional groups to ensure these recommendations are executed.</li>
</ul>
</div>
<br/>
At Google, we don’t just accept difference—we celebrate it, we support it, and we thrive on it for the benefit of our employees, our products and our community. Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. See also Google's EEO Policy and EEO is the Law. If you have a disability or special need that requires accommodation, please let us know by completing this form.</div></div>"
8,https://www.glassdoor.com/partner/jobListing.htm?pos=501&ao=437149&s=58&guid=0000016ec627a69f93df48ceadac6025&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_9e6e3803&cb=1575282517830&jobListingId=3418845783,"Senior Associate / Associate, Data Analyst, Analytics Centre of Excellence, DBS Transformation Group",DBS Bank,2019-11-18,"('1.2931', '103.8558')",Finance,"<div class=""jobDesc"" id=""JobDesc3418845783""><div class=""jobDescriptionContent desc"">Business Function
<br/><br/>
Here at the DBS Transformation Group, we focus on nurturing the culture of the “World’s Best Digital Bank” (Euromoney, 2016 &amp; 2018) and Best Bank in the World (Euromoney 2019). Our approach is a combination of both science and art; we immerse our stakeholders in the world of design thinking and experimentation, drive rigorous creativity along our pipeline, and build connections between corporate entrepreneurs and start-ups. We are a cross-disciplinary team focused on the invention of solutions that will radically improve the way people live, work and play. We are passionate and committed to making banking joyful (while having lots of fun)!
<br/><br/>
About the role
<br/><br/>
The data analyst will provide the big data analytic support to the Analytic Centre of Excellence. The incumbent will partner with business and project leader to discover, analyze and process the data to develop analytic and data science solutions. This position allows those with strong data analytic skill and theoretical understanding of advanced analytic algorithms but lack of hands on experience in advanced analytics to learn and prepare for the role of data scientist - advanced analytics in the future.
<br/><br/>
<strong>Responsibilities</strong>
<br/><br/>
Identify, profile, analyze and present the data discovery output for analytic projects
<br/>
Develop data ingestion pipeline and create the analytic data assets for analytic projects
<br/>
Work with data engineer to enhance the analytic data infrastructure and develop enterprise analytic data mart
<br/>
Perform data wrangling and feature engineering for machine learning
<br/>
Create helper functions to automate frequently encountered wrangling and feature engineering tasks
<br/><br/>
<strong>Requirements</strong>
<br/><br/>
Bachelors/Masters in Computer Science, Statistics, Mathematics and other highly quantitative fields such as bio-informatics.
<br/>
At least 7 years of industry experience in data analytics working in a big data environment.
<br/>
Highly proficient with data wrangling, analytic, transformation and feature engineering using programming tools such as Spark, Python or R. Excellent
<br/>
Apply Now
<br/><br/>
We offer a competitive salary and benefits package and the professional advantages of a dynamic environment that supports your development and recognises your achievements.</div></div>"
9,https://www.glassdoor.com/partner/jobListing.htm?pos=215&ao=571012&s=58&guid=0000016ec6278b1fb5b195455bad41e2&src=GD_JOB_AD&vt=w&cs=1_0a2fb1d3&cb=1575282510853&jobListingId=3419921917,Data Analyst (Broadcast),Singtel,2019-11-20,"('1.2931', '103.8558')",Telecommunications,"<div class=""jobDesc"" id=""JobDesc3419921917""><div class=""jobDescriptionContent desc"">&lt;/strong&gt;
<br/>
 Singtel
<br/>
 &lt;/p&gt;
<br/>
<div><u><strong>Responsibilities:</strong></u>
<ul>
<li>Project manage the various aspects of CMS-related and data-centered projects.</li>
<li>Analyze functional/business requirements and collect all requirements and processes in relation to CMS.</li>
<li>Coordinate with various departments and prepare designs for functional specifications.</li>
<li>Identify, design and implement solutions for initiatives where data analytics can be applied to transform and optimize business value.</li>
<li>Manage the entire lifecycle of CMS-related and data-centered projects including budget, milestones and timelines.</li>
<li>Design, process &amp; present data to the various groups to help them make better decisions.</li>
<li>Collaborate with both internal and external stakeholders e.g. BIT, Engineering and vendors to ensure solutions are aligned with digital transform initiatives and comply with cybersecurity policies.</li>
<li>Interpret and analyze data used in operations and projects to derive insights and foresight, and provide feedback to optimise business value.</li>
<li>Work with system owners to evaluate the data to determine the feasibility of user requests.</li>
<li>Ensure quality and accuracy of the data used in operations and projects and actively look for opportunities to further integrate with other data sources to gain insights.</li>
<li>Build compelling data visualizations to communicate data-driven insights.</li>
<li>Work closely with internal team to research and incorporate AI/ML in relations to data analytics where relevant.</li>
<li>Develop database scripts to process data where necessary.</li>
<li>Constantly review user workflows and recommend initiatives to help improve their processes.</li>
<li>Develop data-driven dashboards for analysis by the various teams.</li>
<li>Manage and design the reporting environment, including data sources, security, and metadata.</li>
<li>Other projects as assigned.</li>
</ul>
<u><strong>Requirements:</strong></u>
<ul>
<li>Tertiary qualification in IT or equivalent experience</li>
<li>Understanding of the principles of project management</li>
<li>Advanced Microsoft Office Experience with Excel, Powerpoint, Word, Visio and Project</li>
<li>Knowledge of databases (Oracle, SQL)</li>
<li>Experience in handling large datasets and relational databases</li>
<li>Experience working with scripting languages</li>
<li>Experience in methodologies and processes for managing large scale databases</li>
<li>Ability to analyze existing tools and databases and provide software solution recommendations</li>
<li>System Architecture knowledge</li>
<li>Good communications and presentation skills</li>
<li>Problem solver, critical thinker and is able to facilitate idea generation</li>
<li>Independent, yet able to work within large teams</li>
<li>Has strong leadership skills and is capable of establishing effective relationships both within own organization and with other departments.</li>
<li>Good to have knowledge of traditional broadcast operations</li>
</ul>
</div><br/>
<div>
<div>
Apply now »</div>
</div>
<br/></div></div>"
